,Date,Open,High,Low,Close,Adj Close,Volume,change,log_return
190,2021-10-26,167.475494,170.806,167.199005,168.803497,168.803497,53966000,0.0167752575806403,0.0166361069824062
191,2021-10-25,166.75,167.389999,164.884995,166.018494,166.018494,44520000,-0.00455098570373073,-0.00456137296600428
192,2021-10-22,171.050003,171.492004,166.565002,166.777496,166.777496,62782000,-0.0289548378850754,-0.0293823008404608
193,2021-10-21,170.712494,172.014008,170.149994,171.750504,171.750504,37628000,0.00584175952955117,0.00582476261481871
194,2021-10-20,172.632996,173.143005,170.018494,170.753006,170.753006,42796000,-0.00844619407525935,-0.00848206529879156
195,2021-10-19,171.714493,172.734497,171.100006,172.207504,172.207504,47722000,-0.000751446268017458,-0.000751728745284202
196,2021-10-18,169.417999,172.458496,169.255005,172.337006,172.337006,63482000,0.0110647749543323,0.0110040081682545
197,2021-10-15,165.570999,170.520996,165.199997,170.451004,170.451004,103598000,0.033080240569727,0.0325448643422025
198,2021-10-14,165.122498,165.630005,164.539001,164.992996,164.992996,42190000,0.00474375495561429,0.00473253880719435
199,2021-10-13,163.485504,164.419006,163.054504,164.214005,164.214005,48402000,0.011378603274822,0.0113143538880772
200,2021-10-12,162.850006,163.376495,161.813995,162.366501,162.366501,36392000,0.000317278128117861,0.000317227806056258
201,2021-10-11,163.75,164.629501,161.904999,162.315002,162.315002,40684000,-0.0128686075010188,-0.0129521253094772
202,2021-10-08,165.850006,166.071503,164.410004,164.431,164.431,39964000,-0.00418180536701258,-0.00419057356822126
203,2021-10-07,164.576996,166.287506,164.153,165.121506,165.121506,48182000,0.0123912071044985,0.0123150644520819
204,2021-10-06,160.676498,163.216995,159.931,163.100494,163.100494,50660000,0.0127320146650354,0.0126516440340951
205,2021-10-05,160.225006,163.036499,160.123001,161.050003,161.050003,65384000,0.00978754032927083,0.00973995261558563
206,2021-10-04,163.969498,163.999496,158.8125,159.488998,159.488998,90462000,-0.0284716785806184,-0.0288848583308049
207,2021-10-01,164.4505,165.458496,162.796997,164.162994,164.162994,56712000,-0.000541880771874286,-0.00054202764231971
208,2021-09-30,165.800003,166.392502,163.699493,164.251999,164.251999,56848000,-0.00487108011826289,-0.00488298249637755
209,2021-09-29,166.105499,167.565002,164.893494,165.056,165.056,51246000,-0.00447534941373589,-0.00448539376912655
210,2021-09-28,167.885498,168.459503,164.505005,165.798004,165.798004,88616000,-0.0263784672303088,-0.0267326209041582
211,2021-09-27,168.574997,170.778503,166.980499,170.289993,170.289993,72690000,-0.00575683688457905,-0.00577347134199692
212,2021-09-24,170.100494,171.462997,169.669998,171.276001,171.276001,42324000,0.00278687348735002,0.00278299735528917
213,2021-09-23,169.002502,171.447998,169.002502,170.800003,170.800003,47588000,0.0106359431294101,0.0105797793716599
214,2021-09-22,167.550003,169.449997,167.052505,169.002502,169.002502,48228000,0.0108923473429952,0.0108334530067691
215,2021-09-21,168.75,168.985001,166.619507,167.181503,167.181503,55618000,-0.00360574899414285,-0.00361226537605483
216,2021-09-20,169.800003,170.949997,165.250504,167.786499,167.786499,93382000,-0.030841744071415,-0.0313273616146868
217,2021-09-17,174.420502,174.870499,172.606506,173.126007,173.126007,92332000,-0.00737332280966931,-0.00740064011667888
218,2021-09-16,172.998001,174.627502,172.307007,174.412003,174.412003,51672000,0.00358190789484099,0.003575508140425
219,2021-09-15,172.126007,174.270996,170.100494,173.789505,173.789505,59150000,0.00747539130434777,0.00744758903602399
220,2021-09-14,173.777496,174.3405,171.885498,172.5,172.5,38738000,-0.00207397952446718,-0.0020761331983
221,2021-09-13,174.139999,174.897995,171.899994,172.858505,172.858505,51380000,-0.00345328963110176,-0.00345926599845828
222,2021-09-10,175.091507,175.422501,173.145493,173.457504,173.457504,47946000,-0.00430800554599115,-0.00431731173892111
223,2021-09-09,176.300995,177.499496,174.018494,174.207993,174.207993,54384000,-0.0117260023846604,-0.0117952941602848
224,2021-09-08,175.582504,177.281494,174.783493,176.274994,176.274994,61068000,0.00461917386328405,0.00460853821904484
225,2021-09-07,173.899994,176.404495,173.847,175.464493,175.464493,54758000,0.00898202749200328,0.00894192901462012
226,2021-09-03,172.600006,174.133499,171.822006,173.902496,173.902496,51514000,0.00431108349773338,0.00430181739900913
227,2021-09-02,174.738007,175.598007,172.75,173.156006,173.156006,58474000,-0.00456447837708215,-0.00457492741691116
228,2021-09-01,174.820007,176.350006,173.761993,173.949997,173.949997,72598000,0.00236540953600164,0.00236261635867028
229,2021-08-31,171.240005,173.628998,169.779495,173.539505,173.539505,87128000,0.0143852027793602,0.0142827174289736
230,2021-08-30,167.871506,172.25,167.761002,171.078506,171.078506,63844000,0.0214769981827128,0.0212496173349964
231,2021-08-27,166.661499,167.615997,165.6875,167.481506,167.481506,48048000,0.0101417549431528,0.010090672433692
232,2021-08-26,164.949997,166.600006,164.800003,165.800003,165.800003,41976000,0.00509825471783898,0.00508530262066318
233,2021-08-25,165.4935,166.050003,164.307495,164.959,164.959,33606000,-0.00199650913251034,-0.00199850481357453
234,2021-08-24,164,165.774506,163.729004,165.289001,165.289001,51036000,0.012220314729852,0.0121462494737917
235,2021-08-23,160.595001,164.044998,160.500504,163.293503,163.293503,65362000,0.020600353388026,0.0203910359028435
236,2021-08-20,160.193497,160.390503,158.787994,159.997498,159.997498,67168000,0.00382715715775379,0.00381985222395297
237,2021-08-19,159.701004,161.649994,159.123001,159.387497,159.387497,75658000,-0.00420782063688778,-0.00421669842699511
238,2021-08-18,162.099503,162.705002,160,160.061005,160.061005,56086000,-0.0125664839296883,-0.0126461099717417
239,2021-08-17,163.875,164.024506,161.283997,162.098007,162.098007,67758000,-0.0172870249440536,-0.0174381902248384
240,2021-08-16,164.149994,165,160.556503,164.949493,164.949493,66394000,0.00152394221533356,0.0015227821937833
241,2021-08-13,165.283493,165.303497,164.149994,164.698502,164.698502,41134000,-0.0028848251330137,-0.00288899426110527
242,2021-08-12,164.5,165.725494,163.483505,165.175003,165.175003,46282000,0.00345981150969929,0.00345384013112379
243,2021-08-11,166.572495,166.884995,163.889496,164.605499,164.605499,58944000,-0.0086036476011596,-0.00864087264507834
